['20:07:54.697151', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [], 'Head Up']
['20:07:55.050846', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.5986267924308777)], 'Head Up']
['20:07:55.306367', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [], 'Head Up']
['20:07:55.550591', 'Face detecting properly.', 'Blink count: 1', 'center', 'Mouth Close', [('person', 0.551498532295227)], 'Head Up']
['20:07:55.799172', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.6053289175033569)], 'Head Up']
['20:07:56.048316', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.5798214673995972)], -1]
['20:07:56.290838', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.5810158848762512)], 'Head Up']
['20:07:56.538390', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.615349531173706)], 'Head Up']
['20:07:56.793519', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.6048387289047241)], -1]
['20:07:57.047397', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.5973743200302124)], -1]
['20:07:57.301955', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Open', [('person', 0.8069859743118286)], -1]
['20:07:57.554932', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Open', [('person', 0.8198256492614746)], -1]
['20:07:57.808912', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.7862839698791504)], 'Head Up']
['20:07:58.061857', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.6221563220024109)], -1]
['20:07:58.313972', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Open', [('person', 0.654052734375)], -1]
['20:07:58.564614', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.7022925615310669)], -1]
['20:07:58.818020', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.6898682713508606)], -1]
['20:07:59.071457', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.5855139493942261)], -1]
['20:07:59.322588', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [], -1]
['20:07:59.575759', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.572995662689209)], -1]
['20:07:59.827745', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.5244183540344238)], -1]
['20:08:00.067708', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Open', [('person', 0.7438400983810425)], 'Head Up']
['20:08:00.302530', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.5620986223220825)], -1]
['20:08:00.554156', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.5758609175682068)], -1]
['20:08:00.792435', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Open', [('person', 0.7845239639282227)], -1]
['20:08:01.043863', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.7688684463500977)], -1]
['20:08:01.298963', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.5722239017486572)], -1]
['20:08:01.552829', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.5630090832710266)], -1]
['20:08:01.807398', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.7071135640144348)], -1]
['20:08:02.044716', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.6971108913421631)], -1]
['20:08:02.299275', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Open', [('person', 0.7704409956932068)], -1]
['20:08:02.552750', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.5203383564949036)], -1]
